speaker,utterance,word,cons,annotation,duration,start_time,end_time
d6,u1,2018_07_16_D6_stops_ахъа_моя_голова,,v1,88.41826955411297,0.49658992099710725,0.5850081905512202
d6,u1,2018_07_16_D6_stops_ахъа_моя_голова,хъ,cd,129.11874284092673,0.5850081905512202,0.714126933392147
d6,u1,2018_07_16_D6_stops_ахъа_моя_голова,хъ,vot,102.45291551508329,0.714126933392147,0.8165798489072302
d6,u1,2018_07_16_D6_stops_ахъа_моя_голова,,v2,197.88850804968126,0.8165798489072302,1.0144683569569115
d6,u2,2018_07_16_D6_stops_ахъа_моя_голова,,v1,73.89309046719018,1.530233383456026,1.6041264739232162
d6,u2,2018_07_16_D6_stops_ахъа_моя_голова,хъ,cd,142.3960191019429,1.6041264739232162,1.746522493025159
d6,u2,2018_07_16_D6_stops_ахъа_моя_голова,хъ,vot,79.8605943024493,1.746522493025159,1.8263830873276083
d6,u2,2018_07_16_D6_stops_ахъа_моя_голова,,v2,190.77808638918393,1.8263830873276083,2.0171611737167923
d6,u3,2018_07_16_D6_stops_ахъа_моя_голова,,v1,75.42389461897957,2.499474066503097,2.5748979611220766
d6,u3,2018_07_16_D6_stops_ахъа_моя_голова,хъ,cd,128.6642908206126,2.5748979611220766,2.703562251942689
d6,u3,2018_07_16_D6_stops_ахъа_моя_голова,хъ,vot,64.8459113226223,2.703562251942689,2.7684081632653115
d6,u3,2018_07_16_D6_stops_ахъа_моя_голова,,v2,175.99999999999972,2.7684081632653115,2.944408163265311
d6,cf,2018_07_16_D6_stops_ахъа_моя_голова,,v1,109.1029252601703,3.575305238005141,3.6844081632653114
d6,cf,2018_07_16_D6_stops_ахъа_моя_голова,хъ,cd,138.00737180700074,3.6844081632653114,3.822415535072312
d6,cf,2018_07_16_D6_stops_ахъа_моя_голова,хъ,vot,55.563262062440884,3.822415535072312,3.877978797134753
d6,cf,2018_07_16_D6_stops_ахъа_моя_голова,,v2,133.05939072847696,3.877978797134753,4.01103818786323
d6,u1,2018_07_16_D6_stops_ахъа_моль,,v1,132.200240590592,5.804848491742132,5.937048732332724
d6,u1,2018_07_16_D6_stops_ахъа_моль,хъ,cd,139.35943093258717,5.937048732332724,6.076408163265311
d6,u1,2018_07_16_D6_stops_ахъа_моль,хъ,vot,68.29971617786157,6.076408163265311,6.144707879443173
d6,u1,2018_07_16_D6_stops_ахъа_моль,,v2,101.62997767265924,6.144707879443173,6.246337857115832
d6,u2,2018_07_16_D6_stops_ахъа_моль,,v1,159.54813699148573,6.730917241789436,6.890465378780922
d6,u2,2018_07_16_D6_stops_ахъа_моль,хъ,cd,125.67147776726628,6.890465378780922,7.016136856548188
d6,u2,2018_07_16_D6_stops_ахъа_моль,хъ,vot,75.40288666035977,7.016136856548188,7.091539743208548
d6,u2,2018_07_16_D6_stops_ахъа_моль,,v2,101.62997767265836,7.091539743208548,7.193169720881206
d6,u3,2018_07_16_D6_stops_ахъа_моль,,v1,135.5066368968778,7.609638077361812,7.74514471425869
d6,u3,2018_07_16_D6_stops_ахъа_моль,хъ,cd,113.65072771996321,7.74514471425869,7.858795441978653
d6,u3,2018_07_16_D6_stops_ахъа_моль,хъ,vot,78.68127303689664,7.858795441978653,7.93747671501555
d6,u3,2018_07_16_D6_stops_ахъа_моль,,v2,89.60922762535529,7.93747671501555,8.027085942640905
d6,cf,2018_07_16_D6_stops_ахъа_моль,,v1,141.94027776726693,8.622877972915264,8.76481825068253
